source_run,model_label,serving_mode,source_file,model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,(p)seq/s/worker,(d)seq/s/worker,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,(e)workers,(e)tp,(e)pp,(e)parallel,(e)memory,backend_label,satisfies_sla,cluster_total_gpus,raw_candidate_tps,cluster_tps_72gpu,output_token_throughput_72gpu,per_gpu_throughput_72gpu,per_gpu_output_token_throughput,per_user_tps,plot_label,is_model_pareto_frontier
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,256,4.677,64.0,256.0,1877.606,53.483,55307.367,4.677,1.169,4672.745,1168.186,18.697,4,1.0,1.0,4.0,1.0,4.0,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,132.23,0.064,1.0,63.0,4063.0,4000.0,63.0,trtllm,1.3.0rc10,gb300,0.0,1168.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,4672.745,84109.39199999999,84109.39199999999,1168.186,1168.186,18.697,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,224,4.481,56.0,224.0,1873.854,48.73,50555.383,4.481,1.12,4476.464,1119.116,20.521,4,1.0,1.0,4.0,1.0,4.0,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,129.987,0.056,1.0,55.0,4055.0,4000.0,55.0,trtllm,1.3.0rc10,gb300,0.0,1119.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,4476.464,80576.352,80576.352,1119.116,1119.116,20.521,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,192,4.25,48.0,192.0,1870.103,43.907,45733.116,4.25,1.062,4245.627,1061.407,22.775,4,1.0,1.0,4.0,1.0,4.0,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,127.744,0.048,1.0,47.0,4047.0,4000.0,47.0,trtllm,1.3.0rc10,gb300,0.0,1061.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,4245.627,76421.30399999999,76421.30399999999,1061.407,1061.407,22.775,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,160,3.925,40.0,160.0,1796.363,39.482,41239.313,3.925,0.981,3921.131,980.283,25.328,4,1.0,1.0,4.0,1.0,4.0,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,125.501,0.04,1.0,39.0,4039.0,4000.0,39.0,trtllm,1.3.0rc10,gb300,0.0,980.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,3921.131,70580.376,70580.376,980.283,980.283,25.328,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,128,3.58,32.0,128.0,1606.482,34.458,36029.854,3.58,0.895,3576.699,894.175,29.021,4,1.0,1.0,4.0,1.0,4.0,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,123.258,0.032,1.0,31.0,4031.0,4000.0,31.0,trtllm,1.3.0rc10,gb300,0.0,894.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,3576.699,64380.6,64380.6,894.175,894.175,29.021,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,112,3.351,28.0,112.0,1511.789,32.121,33600.172,3.351,0.838,3347.971,836.993,31.133,4,1.0,1.0,4.0,1.0,4.0,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,122.136,0.028,1.0,27.0,4027.0,4000.0,27.0,trtllm,1.3.0rc10,gb300,0.0,836.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,3347.971,60263.49600000001,60263.49600000001,836.993,836.993,31.133,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,96,3.086,24.0,96.0,1417.289,29.804,31191.737,3.086,0.771,3082.848,770.712,33.552,4,1.0,1.0,4.0,1.0,4.0,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,121.014,0.024,1.0,23.0,4023.0,4000.0,23.0,trtllm,1.3.0rc10,gb300,0.0,770.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,72,3082.848,55491.263999999996,55491.263999999996,770.712,770.712,33.552,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,192,6.127,24.0,192.0,1718.851,29.735,31424.582,6.127,0.766,6120.829,765.104,33.63,8,1.0,1.0,8.0,1.0,8.0,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,71.655,0.024,1.0,23.0,4023.0,4000.0,23.0,trtllm,1.3.0rc10,gb300,0.0,765.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,72,6120.829,55087.488000000005,55087.488000000005,765.104,765.104,33.63,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,160,5.584,20.0,160.0,1604.391,27.043,28620.64,5.584,0.698,5578.864,697.358,36.978,8,1.0,1.0,8.0,1.0,8.0,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,70.533,0.02,1.0,19.0,4019.0,4000.0,19.0,trtllm,1.3.0rc10,gb300,0.0,697.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,72,5578.864,50209.776,50209.776,697.358,697.358,36.978,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,128,5.059,16.0,128.0,1490.215,23.684,25150.199,5.059,0.632,5054.299,631.787,42.223,8,1.0,1.0,8.0,1.0,8.0,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,69.412,0.016,1.0,15.0,4015.0,4000.0,15.0,trtllm,1.3.0rc10,gb300,0.0,631.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,72,5054.299,45488.664000000004,45488.664000000004,631.787,631.787,42.223,GLM-5 NVFP4 / trtllm / agg,True
